"checkpoint","item_type","item_name","source_start_line","source_end_line","target_file"
"2.12","runtime_dependency_setup","package_checks_and_runtime_libraries",71,86,"R/07_pipeline.R"
"2.12","pipeline_workflow","run_cancerppir",131,1347,"R/07_pipeline.R"
"2.12","function_argument","input_file",,,"R/07_pipeline.R"
"2.12","function_argument","results_root",,,"R/07_pipeline.R"
"2.12","function_argument","cache_dir",,,"R/07_pipeline.R"
"2.12","function_argument","score_threshold",,,"R/07_pipeline.R"
"2.12","function_argument","top_n",,,"R/07_pipeline.R"
"2.12","function_argument","run_enrichment",,,"R/07_pipeline.R"
