"assigned_symbol","expression_index","phase","start_line","end_line"
"enrichment_string_online_top",119,"network_metrics_modules_and_candidates",726,914
"full_string_background",119,"network_metrics_modules_and_candidates",726,914
"id_to_gene",119,"network_metrics_modules_and_candidates",726,914
"local_string_terms",119,"network_metrics_modules_and_candidates",726,914
"module_enrichment_gprofiler",119,"network_metrics_modules_and_candidates",726,914
"module_enrichment_string_local",119,"network_metrics_modules_and_candidates",726,914
"module_enrichment_string_online",119,"network_metrics_modules_and_candidates",726,914
"module_summary",119,"network_metrics_modules_and_candidates",726,914
"online_enrichment_status",119,"network_metrics_modules_and_candidates",726,914
"top_terms",119,"network_metrics_modules_and_candidates",726,914
"major_module_summary",120,"enrichment_and_module_annotation",917,920
"node_metrics",121,"enrichment_and_module_annotation",922,931
"top_candidates",122,"enrichment_and_module_annotation",934,936
"top_by_degree",123,"enrichment_and_module_annotation",938,940
"top_by_betweenness",124,"enrichment_and_module_annotation",942,944
"top_by_stress",125,"enrichment_and_module_annotation",946,948
"preferred_enrichment_categories",127,"reporting_export_and_completion",979,988
"secondary_enrichment_categories",128,"reporting_export_and_completion",992,1000
"specific_biology_pattern",129,"reporting_export_and_completion",1002,1016
"generic_exact_terms",130,"reporting_export_and_completion",1018,1044
"label_rulebook",131,"reporting_export_and_completion",1064,1174
"module_enrichment_collapsed",132,"reporting_export_and_completion",1189,1189
"module_summary_base",133,"reporting_export_and_completion",1191,1192
"module_label_decisions",134,"reporting_export_and_completion",1194,1202
"module_label_decisions",135,"reporting_export_and_completion",1204,1204
"module_summary_readable",136,"reporting_export_and_completion",1206,1250
"major_module_summary_readable",137,"reporting_export_and_completion",1252,1255
"online_gprofiler_collapsed",138,"reporting_export_and_completion",1259,1259
"online_string_collapsed",139,"reporting_export_and_completion",1260,1260
"online_validation_summary",140,"reporting_export_and_completion",1262,1310
"node_metrics_readable",141,"reporting_export_and_completion",1313,1341
"candidate_evidence_matrix",142,"reporting_export_and_completion",1343,1422
"top_candidates_readable",143,"reporting_export_and_completion",1424,1434
"priority_directions",144,"reporting_export_and_completion",1437,1468
"final_priorities",145,"reporting_export_and_completion",1470,1514
"report_readme",146,"reporting_export_and_completion",1518,1539
"annotation_evidence_rules",147,"reporting_export_and_completion",1541,1574
"executive_summary",148,"reporting_export_and_completion",1576,1619
"network_overview",149,"reporting_export_and_completion",1621,1640
"glossary",150,"reporting_export_and_completion",1642,1685
"caveats",151,"reporting_export_and_completion",1687,1704
"analytical_sheets",152,"reporting_export_and_completion",1707,1719
"technical_sheets",154,"reporting_export_and_completion",1728,1745
"links",156,"reporting_export_and_completion",1753,1753
"cytoscape_node_attributes",158,"reporting_export_and_completion",1768,1776
"col",159,"reporting_export_and_completion",1778,1781
"ppi",159,"reporting_export_and_completion",1778,1781
"values",159,"reporting_export_and_completion",1778,1781
