"expression_index","phase","start_line","end_line","line_span","call_head","assignment_target","is_function_definition","preview"
155,"reporting_export_and_completion",1747,1750,4,"write_readable_xlsx",,FALSE,"write_readable_xlsx( file.path(output_dir, ""CancerPPIr_Technical_Report.xlsx""), technical_sheets )"
156,"reporting_export_and_completion",1753,1753,1,"<-","links",FALSE,"links <- make_string_links(mapped_final$STRING_id, score_threshold)"
157,"reporting_export_and_completion",1754,1762,9,"writeLines",,FALSE,"writeLines( c( ""STRING network links"", ""These links use the first up to 300 STRING protein IDs to avoid browser URL-length limits."", paste(""current:"", links[[""current""]]), paste..."
158,"reporting_export_and_completion",1768,1776,9,"<-","cytoscape_node_attributes",FALSE,"cytoscape_node_attributes <- node_metrics_readable %>% mutate( louvain_module_id = community_louvain, cytoscape_label = gene, cytoscape_module_label = final_functional_label, cy..."
159,"reporting_export_and_completion",1778,1781,4,"for",,FALSE,"for (col in setdiff(names(cytoscape_node_attributes), ""STRING_id"")) { values <- cytoscape_node_attributes[[col]][match(igraph::V(ppi)$name, cytoscape_node_attributes$STRING_id)]..."
160,"reporting_export_and_completion",1783,1787,5,"igraph::write_graph",,FALSE,"igraph::write_graph( ppi, file.path(output_dir, ""Network_for_Cytoscape.graphml""), format = ""graphml"" )"
161,"reporting_export_and_completion",1789,1789,1,"msg",,FALSE,"msg(""Done."")"
162,"reporting_export_and_completion",1790,1790,1,"msg",,FALSE,"msg(""Output directory: "", normalizePath(output_dir))"
163,"reporting_export_and_completion",1791,1791,1,"msg",,FALSE,"msg(""Mapped genes: "", after_mapped, ""/"", after_total, "" ("", after_pct, ""%)"")"
164,"reporting_export_and_completion",1792,1792,1,"msg",,FALSE,"msg(""Network: "", igraph::gorder(ppi), "" nodes, "", igraph::gsize(ppi), "" edges, "", comp$no, "" components"")"
165,"reporting_export_and_completion",1793,1793,1,"msg",,FALSE,"msg(""Main files: CancerPPIr_Analytical_Report.xlsx, CancerPPIr_Technical_Report.xlsx, STRING_links.txt, Network_for_Cytoscape.graphml"")"
