"expression_index","phase","start_line","end_line","line_span","call_head","assignment_target","is_function_definition","preview"
40,"cli_configuration_and_setup",209,219,11,"<-","module_clean_labels",FALSE,"module_clean_labels <- c( antigen_presentation = ""MHC_class_II_antigen_presentation_module"", T_cell_cytotoxic = ""T_cell_cytotoxic_module"", myeloid_macrophage = ""myeloid_macropha..."
41,"input_normalization_and_string_mapping",239,239,1,"msg",,FALSE,"msg(""Reading input table."")"
42,"input_normalization_and_string_mapping",240,240,1,"<-","input_tbl",FALSE,"input_tbl <- read_gene_table(input_file)"
43,"input_normalization_and_string_mapping",242,242,1,"msg",,FALSE,"msg(""Checking gene symbols."")"
44,"input_normalization_and_string_mapping",243,252,10,"<-","hgnc_map",FALSE,"hgnc_map <- HGNChelper::checkGeneSymbols( unique(input_tbl$gene), species = ""human"", map = HGNChelper::hgnc.table ) %>% mutate( suggested_symbol = coalesce(Suggested.Symbol, x),..."
45,"input_normalization_and_string_mapping",254,259,6,"<-","input_tbl",FALSE,"input_tbl <- input_tbl %>% mutate( input_gene = gene, gene = hgnc_map$suggested_symbol[match(gene, hgnc_map$original_gene)] ) %>% filter(!is.na(gene), nzchar(gene))"
46,"input_normalization_and_string_mapping",261,263,3,"if",,FALSE,"if (!nrow(input_tbl)) { stop(""No rows remained after gene-symbol normalization."", call. = FALSE) }"
47,"input_normalization_and_string_mapping",265,265,1,"msg",,FALSE,"msg(""Initializing STRINGdb."")"
48,"input_normalization_and_string_mapping",266,287,22,"<-","string_db",FALSE,"string_db <- tryCatch( STRINGdb$new( species = 9606, version = ""12.0"", score_threshold = score_threshold, network_type = ""full"", input_directory = cache_dir ), error = function(..."
49,"input_normalization_and_string_mapping",289,289,1,"msg",,FALSE,"msg(""Mapping genes to STRING identifiers."")"
50,"input_normalization_and_string_mapping",290,290,1,"<-","mapped_initial",FALSE,"mapped_initial <- map_to_string(string_db, input_tbl, ""gene"", removeUnmappedRows = FALSE)"
